🇹🇼台灣,#genre#
51東森新聞,http://www.336699.live:1935/blocksix/4gtv-live114.stream/playlist.m3u8
51東森新聞,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/4_2213132.m3u8
51東森新聞,http://60.251.59.180:8503/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
51東森新聞,http://220.134.196.147:9514/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
52中天新聞,https://raw.githubusercontent.com/killme1206/YTM/main/24.m3u8
52中天新聞,http://www.336699.live:1935/blockfour/4gtv-4gtv009.stream/playlist.m3u8
52中天新聞,https://raw.githubusercontent.com/killme1206/YTM/main/32.m3u8
53民視新聞,https://raw.githubusercontent.com/killme1206/YTM/main/26.m3u8
53民視新聞,http://www.336699.live:1935/blockfour/litv-ftv13.stream/playlist.m3u8
53民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
53民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
54三立iNews,https://raw.githubusercontent.com/killme1206/YTM/main/29.m3u8
54三立iNews,http://www.336699.live:1935/blocksix/4gtv-live089.stream/playlist.m3u8
54三立Live新聞,https://raw.githubusercontent.com/killme1206/YTM/main/28.m3u8
54三立新聞,http://138.2.63.32:9500/live.m3u8?c=1
55TVBS新聞,http://www.336699.live:1935/blocksix/4gtv-live072.stream/chunklist.m3u8
55TVBS新聞,rtmp://219.80.97.77/sat/tv551
55TVBS新聞,rtmp://119.81.124.89/sat/tv551
55TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
55TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
55TVBS新聞,http://138.2.63.32:9500/live.m3u8?c=3
56TVBS,http://138.2.63.32:9500/live.m3u8?c=4
56TVBS,http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8
57東森財經,https://raw.githubusercontent.com/killme1206/YTM/main/50.m3u8
57東森財經,http://www.336699.live:1935/blocksix/4gtv-live019.stream/playlist.m3u8
57東森財經股市,https://raw.githubusercontent.com/killme1206/YTM/main/23.m3u8
58非凡新聞,http://220.134.196.147:9502/http/116.50.42.18:8081/hls/75/817/ch57.m3u8
61衛視電影,http://220.134.196.147:9549/http/116.50.42.18:8081/hls/62/804/ch07.m3u8
65HBO,http://220.134.196.147:9539/http/116.50.42.18:8081/hls/71/813/ch41.m3u8
67AXN,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/71/813/ch43.m3u8
68好萊塢電影,http://220.134.196.147:9502/http/116.50.42.18:8081/hls/74/816/ch55.m3u8
69CINEMAX,http://220.134.196.147:9533/http/116.50.42.19:8081/hls/71/813/ch42.m3u8
72緯來體育,http://60.251.33.252:18509/http/192.168.1.9:8081/hls/67/809/ch28.m3u8
72緯來體育,rtmp://119.81.124.89/sat/tv721
72緯來體育,rtmp://219.80.97.77/sat/tv721
72緯來體育,http://220.134.196.147:9563/http/59.120.8.187:8081/hls/67/809/ch28.m3u8
73緯來育樂,http://123.51.229.65:18541/http/59.120.8.187:8081/hls/68/810/ch30.m3u8
73緯來育樂,http://60.251.33.252:18541/http/59.120.8.187:8081/hls/68/810/ch30.m3u8
73緯來育樂,rtmp://219.80.97.77/sat/tv701
73緯來育樂,rtmp://119.81.124.89/sat/tv701
74東森超視,http://220.134.196.147:9502/http/116.50.42.18:8081/hls/64/806/ch14.m3u8
75國興衛視,http://220.134.196.147:9546/http/116.50.42.19:8081/hls/64/806/ch15.m3u8
76緯來日本,http://60.251.59.180:8513/http/116.50.42.18:8081/hls/69/811/ch34.m3u8
76緯來日本,rtmp://219.80.97.77/sat/tv771
76緯來日本,rtmp://119.81.124.89/sat/tv771
89緯來電影,http://220.134.196.147:9538/http/116.50.42.19:8081/hls/69/811/ch35.m3u8
91Animax動漫,http://220.134.196.147:9516/http/60.251.39.91:8081/hls/70/812/ch39.m3u8
123非凡商業,http://59.125.101.187:8535/http/60.251.39.91:8081/hls/74/816/ch56.m3u8
125MTV Live,http://www.336699.live:1935/blocksix/4gtv-live025.stream/playlist.m3u8
